date_,day_of_week,month,quarter,year,is_weekend,is_holiday,holiday_name,season
2022-04-01,4,4,2,2022,0,0,None,Summer
2022-04-02,5,4,2,2022,1,1,Ugadi,Summer
2022-04-03,6,4,2,2022,1,0,None,Summer
2022-04-04,0,4,2,2022,0,0,None,Summer
2022-04-05,1,4,2,2022,0,0,None,Summer
2022-04-06,2,4,2,2022,0,0,None,Summer
2022-04-07,3,4,2,2022,0,0,None,Summer
2022-04-08,4,4,2,2022,0,0,None,Summer
2022-04-09,5,4,2,2022,1,0,None,Summer
2022-04-10,6,4,2,2022,1,1,Rama Navami,Summer
2022-04-11,0,4,2,2022,0,0,None,Summer
2022-04-12,1,4,2,2022,0,0,None,Summer
2022-04-13,2,4,2,2022,0,0,None,Summer
2022-04-14,3,4,2,2022,0,1,Dr. B. R. Ambedkar's Jayanti; Mahavir Jayanti,Summer
2022-04-15,4,4,2,2022,0,1,Good Friday,Summer
2022-04-16,5,4,2,2022,1,0,None,Summer
2022-04-17,6,4,2,2022,1,1,Easter Sunday,Summer
2022-04-18,0,4,2,2022,0,0,None,Summer
2022-04-19,1,4,2,2022,0,0,None,Summer
2022-04-20,2,4,2,2022,0,0,None,Summer
2022-04-21,3,4,2,2022,0,0,None,Summer
2022-04-22,4,4,2,2022,0,0,None,Summer
2022-04-23,5,4,2,2022,1,0,None,Summer
2022-04-24,6,4,2,2022,1,0,None,Summer
2022-04-25,0,4,2,2022,0,0,None,Summer
2022-04-26,1,4,2,2022,0,0,None,Summer
2022-04-27,2,4,2,2022,0,0,None,Summer
2022-04-28,3,4,2,2022,0,0,None,Summer
2022-04-29,4,4,2,2022,0,0,None,Summer
2022-04-30,5,4,2,2022,1,0,None,Summer
2022-05-01,6,5,2,2022,1,1,Maharashtra Day,Summer
2022-05-02,0,5,2,2022,0,0,None,Summer
2022-05-03,1,5,2,2022,0,1,Id-ul-Fitr,Summer
2022-05-04,2,5,2,2022,0,0,None,Summer
2022-05-05,3,5,2,2022,0,0,None,Summer
2022-05-06,4,5,2,2022,0,0,None,Summer
2022-05-07,5,5,2,2022,1,0,None,Summer
2022-05-08,6,5,2,2022,1,0,None,Summer
2022-05-09,0,5,2,2022,0,1,Guru Rabindranath's Birthday,Summer
2022-05-10,1,5,2,2022,0,0,None,Summer
2022-05-11,2,5,2,2022,0,0,None,Summer
2022-05-12,3,5,2,2022,0,0,None,Summer
2022-05-13,4,5,2,2022,0,0,None,Summer
2022-05-14,5,5,2,2022,1,0,None,Summer
2022-05-15,6,5,2,2022,1,0,None,Summer
2022-05-16,0,5,2,2022,0,1,Buddha Purnima,Summer
2022-05-17,1,5,2,2022,0,0,None,Summer
2022-05-18,2,5,2,2022,0,0,None,Summer
2022-05-19,3,5,2,2022,0,0,None,Summer
2022-05-20,4,5,2,2022,0,0,None,Summer
2022-05-21,5,5,2,2022,1,0,None,Summer
2022-05-22,6,5,2,2022,1,0,None,Summer
2022-05-23,0,5,2,2022,0,0,None,Summer
2022-05-24,1,5,2,2022,0,0,None,Summer
2022-05-25,2,5,2,2022,0,0,None,Summer
2022-05-26,3,5,2,2022,0,0,None,Summer
2022-05-27,4,5,2,2022,0,0,None,Summer
2022-05-28,5,5,2,2022,1,0,None,Summer
2022-05-29,6,5,2,2022,1,0,None,Summer
2022-05-30,0,5,2,2022,0,0,None,Summer
2022-05-31,1,5,2,2022,0,0,None,Summer
2022-06-01,2,6,2,2022,0,0,None,Monsoon
2022-06-02,3,6,2,2022,0,1,Maharana Pratap's Jayanti,Monsoon
2022-06-03,4,6,2,2022,0,0,None,Monsoon
2022-06-04,5,6,2,2022,1,0,None,Monsoon
