date_,commodity_name,category,price_per_kg,price_per_unit,market_name,source
2022-04-15,Ghee (vanaspati),oil and fats,165.1,INR 165.10 per KG,Bengaluru (Bengaluru),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Ghee (vanaspati),oil and fats,163.55,INR 163.55 per KG,Bengaluru (Bengaluru),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Ghee (vanaspati),oil and fats,165.03,INR 165.03 per KG,Bengaluru (Bengaluru),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Ghee (vanaspati),oil and fats,147.97,INR 147.97 per KG,Bengaluru (Bengaluru),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Lentils,pulses and nuts,111.76,INR 111.76 per KG,Bengaluru (Bengaluru),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Lentils,pulses and nuts,110.0,INR 110.00 per KG,Bengaluru (Bengaluru),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Lentils,pulses and nuts,110.13,INR 110.13 per KG,Bengaluru (Bengaluru),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Lentils,pulses and nuts,105.23,INR 105.23 per KG,Bengaluru (Bengaluru),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Lentils (masur),pulses and nuts,110.0,INR 110.00 per KG,Bengaluru (Bengaluru),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Lentils (masur),pulses and nuts,109.84,INR 109.84 per KG,Bengaluru (Bengaluru),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Lentils (masur),pulses and nuts,109.87,INR 109.87 per KG,Bengaluru (Bengaluru),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Lentils (masur),pulses and nuts,108.06,INR 108.06 per KG,Bengaluru (Bengaluru),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Lentils (moong),pulses and nuts,115.9,INR 115.90 per KG,Bengaluru (Bengaluru),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Lentils (moong),pulses and nuts,113.0,INR 113.00 per KG,Bengaluru (Bengaluru),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Lentils (moong),pulses and nuts,115.9,INR 115.90 per KG,Bengaluru (Bengaluru),UN WFP / Ministry of Consumer Affairs India
2022-04-15,Lentils (urad),pulses and nuts,127.17,INR 127.17 per KG,Bengaluru (Bengaluru),UN WFP / Ministry of Consumer Affairs India
2022-05-15,Lentils (urad),pulses and nuts,125.42,INR 125.42 per KG,Bengaluru (Bengaluru),UN WFP / Ministry of Consumer Affairs India
2022-06-15,Lentils (urad),pulses and nuts,125.77,INR 125.77 per KG,Bengaluru (Bengaluru),UN WFP / Ministry of Consumer Affairs India
2022-07-15,Lentils (urad),pulses and nuts,116.26,INR 116.26 per KG,Bengaluru (Bengaluru),UN WFP / Ministry of Consumer Affairs India
