date_,project_city,market_name,commodity_name,commodity_category,price_inr,price_usd,unit,price_type,price_flag,source
2022-04-15,Bengaluru,Bengaluru,Ghee (vanaspati),oil and fats,165.1,2.16,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Bengaluru,Bengaluru,Ghee (vanaspati),oil and fats,163.55,2.1,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Bengaluru,Bengaluru,Ghee (vanaspati),oil and fats,165.03,2.11,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Bengaluru,Bengaluru,Ghee (vanaspati),oil and fats,147.97,1.86,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Bengaluru,Bengaluru,Lentils,pulses and nuts,111.76,1.46,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Bengaluru,Bengaluru,Lentils,pulses and nuts,110.0,1.42,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Bengaluru,Bengaluru,Lentils,pulses and nuts,110.13,1.41,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Bengaluru,Bengaluru,Lentils,pulses and nuts,105.23,1.32,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Bengaluru,Bengaluru,Lentils (masur),pulses and nuts,110.0,1.44,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Bengaluru,Bengaluru,Lentils (masur),pulses and nuts,109.84,1.41,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Bengaluru,Bengaluru,Lentils (masur),pulses and nuts,109.87,1.41,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Bengaluru,Bengaluru,Lentils (masur),pulses and nuts,108.06,1.35,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Bengaluru,Bengaluru,Lentils (moong),pulses and nuts,115.9,1.52,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Bengaluru,Bengaluru,Lentils (moong),pulses and nuts,113.0,1.45,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Bengaluru,Bengaluru,Lentils (moong),pulses and nuts,115.9,1.48,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Bengaluru,Bengaluru,Lentils (urad),pulses and nuts,127.17,1.67,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Bengaluru,Bengaluru,Lentils (urad),pulses and nuts,125.42,1.61,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Bengaluru,Bengaluru,Lentils (urad),pulses and nuts,125.77,1.61,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Bengaluru,Bengaluru,Lentils (urad),pulses and nuts,116.26,1.46,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Bengaluru,Bengaluru,Milk (pasteurized),milk and dairy,41.0,0.54,L,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Bengaluru,Bengaluru,Milk (pasteurized),milk and dairy,41.16,0.53,L,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Bengaluru,Bengaluru,Milk (pasteurized),milk and dairy,41.07,0.53,L,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Bengaluru,Bengaluru,Milk (pasteurized),milk and dairy,41.84,0.52,L,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Bengaluru,Bengaluru,Oil (groundnut),oil and fats,205.72,2.7,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Bengaluru,Bengaluru,Oil (groundnut),oil and fats,216.13,2.78,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Bengaluru,Bengaluru,Oil (groundnut),oil and fats,220.17,2.82,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Bengaluru,Bengaluru,Oil (groundnut),oil and fats,217.55,2.73,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Bengaluru,Bengaluru,Oil (mustard),oil and fats,207.97,2.73,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Bengaluru,Bengaluru,Oil (mustard),oil and fats,199.45,2.57,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Bengaluru,Bengaluru,Oil (mustard),oil and fats,197.57,2.53,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Bengaluru,Bengaluru,Oil (mustard),oil and fats,193.65,2.43,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Bengaluru,Bengaluru,Oil (palm),oil and fats,167.31,2.19,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Bengaluru,Bengaluru,Oil (palm),oil and fats,171.1,2.2,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Bengaluru,Bengaluru,Oil (palm),oil and fats,167.8,2.15,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Bengaluru,Bengaluru,Oil (palm),oil and fats,144.23,1.81,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Bengaluru,Bengaluru,Oil (soybean),oil and fats,184.21,2.41,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Bengaluru,Bengaluru,Oil (soybean),oil and fats,183.1,2.36,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Bengaluru,Bengaluru,Oil (soybean),oil and fats,180.03,2.3,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Bengaluru,Bengaluru,Oil (soybean),oil and fats,174.19,2.18,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Bengaluru,Bengaluru,Oil (sunflower),oil and fats,190.72,2.5,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Bengaluru,Bengaluru,Oil (sunflower),oil and fats,192.32,2.48,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Bengaluru,Bengaluru,Oil (sunflower),oil and fats,192.4,2.46,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Bengaluru,Bengaluru,Oil (sunflower),oil and fats,179.74,2.25,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Bengaluru,Bengaluru,Onions,vegetables and fruits,22.17,0.29,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Bengaluru,Bengaluru,Onions,vegetables and fruits,17.71,0.23,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Bengaluru,Bengaluru,Onions,vegetables and fruits,22.43,0.29,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Bengaluru,Bengaluru,Onions,vegetables and fruits,24.9,0.31,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Bengaluru,Bengaluru,Potatoes,cereals and tubers,22.69,0.3,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Bengaluru,Bengaluru,Potatoes,cereals and tubers,23.48,0.3,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Bengaluru,Bengaluru,Potatoes,cereals and tubers,24.0,0.31,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Bengaluru,Bengaluru,Potatoes,cereals and tubers,19.81,0.25,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Bengaluru,Bengaluru,Rice,cereals and tubers,44.48,0.58,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Bengaluru,Bengaluru,Rice,cereals and tubers,44.65,0.57,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Bengaluru,Bengaluru,Rice,cereals and tubers,43.2,0.55,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Bengaluru,Bengaluru,Rice,cereals and tubers,45.94,0.58,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Bengaluru,Bengaluru,Salt (iodised),miscellaneous food,15.0,0.2,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Bengaluru,Bengaluru,Salt (iodised),miscellaneous food,15.16,0.2,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Bengaluru,Bengaluru,Salt (iodised),miscellaneous food,16.4,0.21,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Bengaluru,Bengaluru,Salt (iodised),miscellaneous food,18.87,0.24,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Bengaluru,Bengaluru,Sugar,miscellaneous food,46.17,0.61,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Bengaluru,Bengaluru,Sugar,miscellaneous food,49.94,0.64,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Bengaluru,Bengaluru,Sugar,miscellaneous food,47.73,0.61,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Bengaluru,Bengaluru,Sugar,miscellaneous food,42.45,0.53,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Bengaluru,Bengaluru,Sugar (jaggery/gur),miscellaneous food,70.0,0.92,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-07-15,Bengaluru,Bengaluru,Sugar (jaggery/gur),miscellaneous food,68.06,0.85,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-04-15,Bengaluru,Bengaluru,Tea (black),miscellaneous food,466.24,6.11,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-05-15,Bengaluru,Bengaluru,Tea (black),miscellaneous food,470.32,6.05,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
2022-06-15,Bengaluru,Bengaluru,Tea (black),miscellaneous food,467.0,5.98,KG,Retail,actual,UN WFP / Ministry of Consumer Affairs India
