date_,city_name,temperature_avg,temperature_max,temperature_min,humidity,rainfall_mm,weather_condition
2022-04-01,Bengaluru,27.4,33.5,21.7,44.0,0.0,Clear / Pleasant
2022-04-02,Bengaluru,26.6,32.8,20.3,51.0,0.0,Clear / Pleasant
2022-04-03,Bengaluru,26.4,33.7,19.9,51.0,0.0,Clear / Pleasant
2022-04-04,Bengaluru,26.3,32.9,19.7,51.0,0.0,Clear / Pleasant
2022-04-05,Bengaluru,26.0,33.1,19.6,53.0,0.0,Clear / Pleasant
2022-04-06,Bengaluru,26.2,33.8,18.9,52.0,0.0,Clear / Pleasant
2022-04-07,Bengaluru,27.0,35.3,20.0,48.0,0.0,Hot / Sunny
2022-04-08,Bengaluru,26.4,33.2,19.4,53.0,0.1,Light Rain
2022-04-09,Bengaluru,26.9,33.7,20.5,53.0,0.0,Clear / Pleasant
2022-04-10,Bengaluru,26.9,34.1,20.3,53.0,0.0,Clear / Pleasant
2022-04-11,Bengaluru,27.0,34.0,20.4,57.0,0.0,Clear / Pleasant
2022-04-12,Bengaluru,26.4,33.3,20.9,61.0,0.0,Clear / Pleasant
2022-04-13,Bengaluru,25.6,31.6,21.7,70.0,2.5,Light Rain
2022-04-14,Bengaluru,24.8,32.2,20.9,72.0,12.8,Rain / Monsoon Shower
2022-04-15,Bengaluru,26.0,33.7,20.4,67.0,5.3,Rain / Monsoon Shower
2022-04-16,Bengaluru,25.8,33.8,20.2,67.0,4.2,Light Rain
2022-04-17,Bengaluru,24.3,33.0,19.3,72.0,10.5,Rain / Monsoon Shower
2022-04-18,Bengaluru,24.2,31.7,19.2,71.0,0.2,Light Rain
2022-04-19,Bengaluru,25.9,33.2,19.5,63.0,0.0,Clear / Pleasant
2022-04-20,Bengaluru,27.7,34.4,20.6,52.0,0.0,Clear / Pleasant
2022-04-21,Bengaluru,27.0,33.7,20.8,56.0,0.0,Clear / Pleasant
2022-04-22,Bengaluru,26.1,33.4,20.1,61.0,0.0,Clear / Pleasant
2022-04-23,Bengaluru,26.3,33.0,20.5,60.0,0.0,Clear / Pleasant
2022-04-24,Bengaluru,26.3,33.2,20.3,55.0,0.0,Clear / Pleasant
2022-04-25,Bengaluru,27.5,34.7,20.9,48.0,0.0,Clear / Pleasant
2022-04-26,Bengaluru,27.9,34.7,21.5,45.0,0.0,Clear / Pleasant
2022-04-27,Bengaluru,28.3,35.3,21.2,47.0,0.0,Hot / Sunny
2022-04-28,Bengaluru,27.9,34.9,21.9,50.0,0.0,Clear / Pleasant
2022-04-29,Bengaluru,28.9,37.1,21.8,43.0,0.0,Hot / Sunny
2022-04-30,Bengaluru,27.8,34.7,21.8,56.0,0.0,Clear / Pleasant
2022-05-01,Bengaluru,27.8,34.2,21.7,54.0,0.0,Clear / Pleasant
2022-05-02,Bengaluru,27.5,34.2,21.7,58.0,0.0,Clear / Pleasant
2022-05-03,Bengaluru,26.5,34.1,20.7,64.0,1.6,Light Rain
2022-05-04,Bengaluru,26.1,33.3,21.3,64.0,0.7,Light Rain
2022-05-05,Bengaluru,24.7,31.4,20.3,76.0,0.6,Light Rain
2022-05-06,Bengaluru,24.0,31.0,20.3,79.0,10.7,Rain / Monsoon Shower
2022-05-07,Bengaluru,25.3,31.5,20.2,69.0,0.6,Light Rain
2022-05-08,Bengaluru,26.2,33.0,19.7,64.0,0.1,Light Rain
2022-05-09,Bengaluru,25.7,31.6,19.9,68.0,0.1,Light Rain
2022-05-10,Bengaluru,23.2,27.2,21.4,86.0,4.9,Light Rain
2022-05-11,Bengaluru,22.7,25.5,20.8,80.0,0.4,Light Rain
2022-05-12,Bengaluru,21.9,24.8,20.3,86.0,20.6,Rain / Monsoon Shower
2022-05-13,Bengaluru,22.6,27.3,20.2,87.0,18.1,Rain / Monsoon Shower
2022-05-14,Bengaluru,23.3,28.8,20.3,86.0,14.6,Rain / Monsoon Shower
2022-05-15,Bengaluru,23.8,29.2,20.8,84.0,17.3,Rain / Monsoon Shower
2022-05-16,Bengaluru,23.1,27.6,21.0,88.0,25.1,Rain / Monsoon Shower
2022-05-17,Bengaluru,23.1,28.0,20.7,88.0,18.0,Rain / Monsoon Shower
2022-05-18,Bengaluru,22.7,27.3,20.5,88.0,13.4,Rain / Monsoon Shower
2022-05-19,Bengaluru,21.5,24.6,19.2,86.0,0.9,Light Rain
2022-05-20,Bengaluru,22.1,26.2,18.5,84.0,4.9,Light Rain
2022-05-21,Bengaluru,22.7,26.9,19.3,78.0,0.5,Light Rain
2022-05-22,Bengaluru,22.8,27.8,19.8,82.0,0.6,Light Rain
2022-05-23,Bengaluru,24.2,29.5,19.7,76.0,0.3,Light Rain
2022-05-24,Bengaluru,24.5,29.5,20.2,78.0,0.4,Light Rain
2022-05-25,Bengaluru,24.8,29.6,20.5,76.0,0.5,Light Rain
2022-05-26,Bengaluru,23.6,29.5,19.9,81.0,3.6,Light Rain
2022-05-27,Bengaluru,23.9,29.4,19.9,73.0,0.1,Light Rain
2022-05-28,Bengaluru,24.1,29.5,19.2,72.0,0.3,Light Rain
2022-05-29,Bengaluru,24.3,29.7,19.5,72.0,0.0,Clear / Pleasant
2022-05-30,Bengaluru,23.8,29.9,19.5,77.0,6.2,Rain / Monsoon Shower
2022-05-31,Bengaluru,23.6,29.4,19.3,78.0,2.1,Light Rain
2022-06-01,Bengaluru,23.1,29.2,19.4,82.0,4.8,Light Rain
