product_id,city_name,missing_count,median_lp_prod_city,valid_samples_prod_city,median_lp_prod,valid_samples_prod,recovery_tier,recovered_landing_price
3560,Mumbai,3,123.20017,1042,123.2,5398,Tier_1_Product_City_Median,123.20017
480940,HR-NCR,3,29.996002,287,29.996,1109,Tier_1_Product_City_Median,29.996002
481545,Delhi,1,111.746,500,111.746,1008,Tier_1_Product_City_Median,111.746
485527,Bengaluru,2,96.007996,665,96.008012,2789,Tier_1_Product_City_Median,96.007996
376302,Bengaluru,1,169.81442,7,169.81442,7,Tier_1_Product_City_Median,169.81442
365618,Bengaluru,2,60.711,15,59.855615,28,Tier_1_Product_City_Median,60.711
487659,HR-NCR,682,0.012,1799,0.012,4242,Tier_1_Product_City_Median,0.012
455294,HR-NCR,4,104.402,95,104.402,393,Tier_1_Product_City_Median,104.402
406325,HR-NCR,1,172.94841,17,172.96504,160,Tier_1_Product_City_Median,172.94841
346046,Delhi,3,53.793083,17,54.49722,125,Tier_1_Product_City_Median,53.793083
400718,Bengaluru,1,169.1836,246,169.50377,1603,Tier_1_Product_City_Median,169.1836
428870,Delhi,1,15.164975,265,15.164975,437,Tier_1_Product_City_Median,15.164975
388296,HR-NCR,1,25.482353,22,25.482353,54,Tier_1_Product_City_Median,25.482353
438462,Delhi,3,147.263,115,147.263,251,Tier_1_Product_City_Median,147.263
376528,Mumbai,1,53.410873,5,48.451201,12,Tier_1_Product_City_Median,53.410873
477872,Delhi,1,363.995,66,363.995,130,Tier_1_Product_City_Median,363.995
428982,HR-NCR,1,71.31583,23,71.34628,90,Tier_1_Product_City_Median,71.31583
428981,Delhi,1,84.22961,21,84.290146,42,Tier_1_Product_City_Median,84.22961
372055,Mumbai,3,125.737366,6,93.52752000000001,16,Tier_1_Product_City_Median,125.737366
439621,HR-NCR,1,58.0048,5,58.004807,27,Tier_1_Product_City_Median,58.0048
449586,Delhi,1,111.72201,9,111.72201,9,Tier_1_Product_City_Median,111.72201
435974,HR-NCR,1,322.461,4,322.41025,117,Tier_1_Product_City_Median,322.461
480727,Delhi,2,29.198002,291,29.198002,705,Tier_1_Product_City_Median,29.198002
458686,Mumbai,2,46.079,369,46.079,1800,Tier_1_Product_City_Median,46.079
482199,Delhi,3,210.0,309,210.0,566,Tier_1_Product_City_Median,210.0
