date_,product_id,city_name,actual_demand,expected_demand,anomaly_score,anomaly_type,severity,action_recommendation
2022-07-10,176190,Bengaluru,1339.0,826.48,0.5488,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-10,17748,HR-NCR,424.0,1909.74,0.6333,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-10,27064,Delhi,413.0,269.11,0.1661,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-10,27389,Delhi,421.0,362.49,0.1266,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-10,300292,Delhi,328.0,244.78,0.1084,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-10,309894,Bengaluru,1911.0,1427.53,0.6185,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-10,368445,HR-NCR,350.0,284.11,0.1325,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-10,389738,Delhi,349.0,224.22,0.1319,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-10,425780,HR-NCR,85.0,638.41,0.4744,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-10,483951,Bengaluru,331.0,230.55,0.16,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-10,486016,Delhi,1.0,339.9,0.6434,DROP_STOCKOUT,CRITICAL,"Check inventory, stock availability, and delivery/supply status."
2022-07-10,55504,HR-NCR,250.0,189.23,0.1236,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-09,179,Mumbai,307.0,175.88,0.1579,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-09,187,HR-NCR,379.0,316.09,0.1067,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-09,27389,HR-NCR,209.0,175.88,0.1203,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-09,28390,Bengaluru,555.0,175.88,0.3625,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-09,329549,HR-NCR,480.0,286.02,0.2337,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
2022-07-09,349944,HR-NCR,632.0,465.63,0.2347,SPIKE_DEMAND,CRITICAL,Review inventory availability and prepare replenishment.
