product_id,city_name,mean_daily_demand,std_daily_demand,active_days_in_window,unit_cost,cost_data_status,lead_time_days_param,target_service_level_param,lead_time_demand,safety_stock,reorder_point,target_stock_level,lead_time_source,service_level_source
19512,Delhi,8690.15,878.87,20,,ORIGINAL_VALID_IN_MASTER,3,0.95,26070.449999999997,2505,28576,89407,NOT_AVAILABLE_IN_SOURCE (Configured Parameter),NOT_AVAILABLE_IN_SOURCE (Configured Parameter)
19512,HR-NCR,6977.45,311.44,20,,ORIGINAL_VALID_IN_MASTER,3,0.95,20932.35,888,21821,70663,NOT_AVAILABLE_IN_SOURCE (Configured Parameter),NOT_AVAILABLE_IN_SOURCE (Configured Parameter)
12872,Delhi,6825.95,777.87,20,,ORIGINAL_VALID_IN_MASTER,3,0.95,20477.85,2217,22695,70477,NOT_AVAILABLE_IN_SOURCE (Configured Parameter),NOT_AVAILABLE_IN_SOURCE (Configured Parameter)
391306,Delhi,5958.55,914.39,20,,ORIGINAL_VALID_IN_MASTER,3,0.95,17875.65,2606,20482,62192,NOT_AVAILABLE_IN_SOURCE (Configured Parameter),NOT_AVAILABLE_IN_SOURCE (Configured Parameter)
12872,HR-NCR,4529.6,288.36,20,,ORIGINAL_VALID_IN_MASTER,3,0.95,13588.800000000001,822,14411,46118,NOT_AVAILABLE_IN_SOURCE (Configured Parameter),NOT_AVAILABLE_IN_SOURCE (Configured Parameter)
333785,Delhi,4527.95,631.12,20,,ORIGINAL_VALID_IN_MASTER,3,0.95,13583.849999999999,1799,15383,47079,NOT_AVAILABLE_IN_SOURCE (Configured Parameter),NOT_AVAILABLE_IN_SOURCE (Configured Parameter)
3881,Delhi,4230.7,1196.43,20,,ORIGINAL_VALID_IN_MASTER,3,0.95,12692.099999999999,3409,16102,45716,NOT_AVAILABLE_IN_SOURCE (Configured Parameter),NOT_AVAILABLE_IN_SOURCE (Configured Parameter)
391306,HR-NCR,4178.45,436.27,20,,ORIGINAL_VALID_IN_MASTER,3,0.95,12535.349999999999,1244,13780,43029,NOT_AVAILABLE_IN_SOURCE (Configured Parameter),NOT_AVAILABLE_IN_SOURCE (Configured Parameter)
37083,Bengaluru,3910.5,454.63,20,,ORIGINAL_VALID_IN_MASTER,3,0.95,11731.5,1296,13028,40401,NOT_AVAILABLE_IN_SOURCE (Configured Parameter),NOT_AVAILABLE_IN_SOURCE (Configured Parameter)
391306,Bengaluru,3884.95,323.37,20,,ORIGINAL_VALID_IN_MASTER,3,0.95,11654.849999999999,922,12577,39772,NOT_AVAILABLE_IN_SOURCE (Configured Parameter),NOT_AVAILABLE_IN_SOURCE (Configured Parameter)
3898,Delhi,3729.2,400.59,20,,ORIGINAL_VALID_IN_MASTER,3,0.95,11187.599999999999,1142,12330,38434,NOT_AVAILABLE_IN_SOURCE (Configured Parameter),NOT_AVAILABLE_IN_SOURCE (Configured Parameter)
3881,HR-NCR,3719.1,845.73,20,,ORIGINAL_VALID_IN_MASTER,3,0.95,11157.3,2410,13568,39601,NOT_AVAILABLE_IN_SOURCE (Configured Parameter),NOT_AVAILABLE_IN_SOURCE (Configured Parameter)
445675,Bengaluru,3234.05,600.13,20,,ORIGINAL_VALID_IN_MASTER,3,0.95,9702.150000000001,1710,11413,34051,NOT_AVAILABLE_IN_SOURCE (Configured Parameter),NOT_AVAILABLE_IN_SOURCE (Configured Parameter)
309921,Bengaluru,3222.65,350.8,20,,ORIGINAL_VALID_IN_MASTER,3,0.95,9667.95,1000,10668,33227,NOT_AVAILABLE_IN_SOURCE (Configured Parameter),NOT_AVAILABLE_IN_SOURCE (Configured Parameter)
