product_id,city_name,total_periods,active_sales_days,zero_sales_pct,ADI,CV2,mean_non_zero_demand,overall_mean_daily_demand,demand_category
1,Bengaluru,91,71,21.98,1.282,0.088,41.2,32.14,Smooth
1,Delhi,91,71,21.98,1.282,0.06,175.51,136.93,Smooth
1,HR-NCR,91,71,21.98,1.282,0.079,86.7,67.65,Smooth
1,Mumbai,91,71,21.98,1.282,0.11,18.59,14.51,Smooth
2,Bengaluru,91,71,21.98,1.282,0.076,47.79,37.29,Smooth
2,Delhi,91,71,21.98,1.282,0.091,55.75,43.49,Smooth
2,HR-NCR,91,69,24.18,1.319,0.166,16.55,12.55,Smooth
2,Mumbai,91,71,21.98,1.282,0.08,18.07,14.1,Smooth
3,Bengaluru,91,69,24.18,1.319,0.298,8.28,6.27,Smooth
3,Delhi,91,71,21.98,1.282,0.072,61.94,48.33,Smooth
3,HR-NCR,91,71,21.98,1.282,0.106,30.38,23.7,Smooth
3,Mumbai,91,71,21.98,1.282,0.165,8.68,6.77,Smooth
4,Bengaluru,91,71,21.98,1.282,0.15,21.48,16.76,Smooth
4,Delhi,91,71,21.98,1.282,0.32,67.03,52.3,Smooth
4,HR-NCR,91,71,21.98,1.282,0.185,41.66,32.51,Smooth
4,Mumbai,91,70,23.08,1.3,0.408,6.63,5.1,Smooth
7,Bengaluru,91,71,21.98,1.282,0.124,120.23,93.8,Smooth
7,Delhi,91,71,21.98,1.282,0.027,320.97,250.43,Smooth
7,HR-NCR,91,71,21.98,1.282,0.025,164.63,128.45,Smooth
7,Mumbai,91,71,21.98,1.282,0.045,44.93,35.05,Smooth
12,Delhi,91,71,21.98,1.282,0.088,511.13,398.79,Smooth
12,HR-NCR,91,71,21.98,1.282,0.098,319.49,249.27,Smooth
13,Bengaluru,91,71,21.98,1.282,0.274,26.77,20.89,Smooth
13,Delhi,91,71,21.98,1.282,0.093,479.42,374.05,Smooth
13,HR-NCR,91,71,21.98,1.282,0.068,196.56,153.36,Smooth
13,Mumbai,91,71,21.98,1.282,0.174,51.8,40.42,Smooth
14,Delhi,91,71,21.98,1.282,0.039,237.0,184.91,Smooth
14,HR-NCR,91,71,21.98,1.282,0.051,107.17,83.62,Smooth
14,Mumbai,91,70,23.08,1.3,0.303,5.8,4.46,Smooth
17,Delhi,91,71,21.98,1.282,0.088,265.94,207.49,Smooth
17,HR-NCR,91,71,21.98,1.282,0.097,139.39,108.76,Smooth
20,Bengaluru,91,69,24.18,1.319,0.553,12.3,9.33,Erratic
20,Delhi,91,71,21.98,1.282,0.078,42.04,32.8,Smooth
20,HR-NCR,91,71,21.98,1.282,0.068,35.28,27.53,Smooth
20,Mumbai,91,54,40.66,1.685,0.23,9.48,5.63,Intermittent
21,Bengaluru,91,71,21.98,1.282,0.242,26.13,20.38,Smooth
21,Delhi,91,71,21.98,1.282,0.155,12.92,10.08,Smooth
21,HR-NCR,91,71,21.98,1.282,0.202,16.86,13.15,Smooth
21,Mumbai,91,49,46.15,1.857,0.46,5.94,3.2,Intermittent
25,Bengaluru,91,67,26.37,1.358,0.435,4.0,2.95,Intermittent
25,Delhi,91,60,34.07,1.517,0.495,3.38,2.23,Lumpy
25,HR-NCR,91,60,34.07,1.517,0.411,2.3,1.52,Intermittent
25,Mumbai,91,12,86.81,7.583,0.185,1.5,0.2,Intermittent
26,Bengaluru,91,71,21.98,1.282,0.152,29.49,23.01,Smooth
26,Delhi,91,1,98.9,91.0,0.0,1.0,0.01,Intermittent
26,HR-NCR,91,6,93.41,15.167,0.333,2.0,0.13,Intermittent
26,Mumbai,91,0,100.0,91.0,0.0,0.0,0.0,Intermittent
28,Bengaluru,91,64,29.67,1.422,0.332,3.28,2.31,Intermittent
28,Delhi,91,71,21.98,1.282,0.373,8.51,6.64,Smooth
28,HR-NCR,91,68,25.27,1.338,0.229,4.84,3.62,Intermittent
28,Mumbai,91,57,37.36,1.596,0.322,2.16,1.35,Intermittent
31,Delhi,91,71,21.98,1.282,0.052,576.73,449.98,Smooth
31,HR-NCR,91,71,21.98,1.282,0.067,487.93,380.69,Smooth
36,Bengaluru,91,2,97.8,45.5,0.111,1.5,0.03,Intermittent
36,Delhi,91,71,21.98,1.282,0.41,49.24,38.42,Smooth
36,HR-NCR,91,71,21.98,1.282,0.496,22.61,17.64,Erratic
36,Mumbai,91,22,75.82,4.136,1.568,6.09,1.47,Lumpy
37,Bengaluru,91,70,23.08,1.3,0.239,2.99,2.3,Smooth
37,Delhi,91,14,84.62,6.5,0.503,2.64,0.41,Lumpy
37,HR-NCR,91,13,85.71,7.0,0.45,1.77,0.25,Intermittent
39,Bengaluru,91,44,51.65,2.068,0.215,1.77,0.86,Intermittent
39,Delhi,91,59,35.16,1.542,0.276,2.8,1.81,Intermittent
39,HR-NCR,91,62,31.87,1.468,0.365,2.34,1.59,Intermittent
39,Mumbai,91,45,50.55,2.022,0.318,1.42,0.7,Intermittent
40,Delhi,91,21,76.92,4.333,0.333,1.48,0.34,Intermittent
40,HR-NCR,91,10,89.01,9.1,0.124,1.3,0.14,Intermittent
43,Bengaluru,91,71,21.98,1.282,0.111,212.44,165.75,Smooth
43,Delhi,91,71,21.98,1.282,0.101,250.77,195.66,Smooth
43,HR-NCR,91,71,21.98,1.282,0.134,102.54,80.0,Smooth
43,Mumbai,91,71,21.98,1.282,0.176,226.44,176.67,Smooth
44,Bengaluru,91,71,21.98,1.282,0.153,41.82,32.63,Smooth
44,Mumbai,91,68,25.27,1.338,1.007,22.62,16.9,Lumpy
47,Bengaluru,91,71,21.98,1.282,0.147,18.11,14.13,Smooth
47,Delhi,91,71,21.98,1.282,0.298,19.15,14.95,Smooth
47,HR-NCR,91,71,21.98,1.282,0.244,10.3,8.03,Smooth
47,Mumbai,91,26,71.43,3.5,0.563,2.62,0.75,Lumpy
50,Delhi,91,71,21.98,1.282,0.139,391.92,305.78,Smooth
50,HR-NCR,91,71,21.98,1.282,0.133,181.97,141.98,Smooth
50,Mumbai,91,71,21.98,1.282,0.367,30.76,24.0,Smooth
52,Bengaluru,91,71,21.98,1.282,0.163,103.01,80.37,Smooth
52,Delhi,91,71,21.98,1.282,0.049,2014.63,1571.86,Smooth
52,HR-NCR,91,71,21.98,1.282,0.062,725.06,565.7,Smooth
52,Mumbai,91,71,21.98,1.282,0.074,110.46,86.19,Smooth
55,Bengaluru,91,71,21.98,1.282,0.143,45.72,35.67,Smooth
55,Mumbai,91,48,47.25,1.896,0.58,2.65,1.4,Lumpy
56,Delhi,91,71,21.98,1.282,0.049,145.38,113.43,Smooth
56,HR-NCR,91,71,21.98,1.282,0.046,63.87,49.84,Smooth
57,Mumbai,91,35,61.54,2.6,0.571,5.03,1.93,Lumpy
58,HR-NCR,91,1,98.9,91.0,0.0,1.0,0.01,Intermittent
59,Bengaluru,91,71,21.98,1.282,0.126,37.34,29.13,Smooth
59,Delhi,91,71,21.98,1.282,0.084,61.32,47.85,Smooth
59,HR-NCR,91,71,21.98,1.282,0.136,24.89,19.42,Smooth
59,Mumbai,91,71,21.98,1.282,0.169,18.14,14.15,Smooth
61,Bengaluru,91,71,21.98,1.282,0.085,26.39,20.59,Smooth
61,Delhi,91,71,21.98,1.282,0.061,48.31,37.69,Smooth
61,HR-NCR,91,71,21.98,1.282,0.091,24.21,18.89,Smooth
