product_id,total_rows,total_qty,total_revenue,first_date,last_date,active_days,num_cities,cities,num_months,months,min_price,max_price,avg_price,median_price,min_qty,max_qty,avg_qty,std_price,classification
455347,34752,41964.0,1580422.0,2022-04-06,2022-06-20,64,2,"Delhi, HR-NCR",3,"2022-04, 2022-05, 2022-06",30.0,81.0,38.0154523480663,35.0,0,11,1.2075276243093922,9.68773882016048,A_recurring_strong_evidence
271303,12373,13610.0,534538.0,2022-04-06,2022-05-21,46,4,"Bengaluru, Delhi, HR-NCR, Mumbai",2,"2022-04, 2022-05",39.0,40.0,39.2846520649802,39.0,0,7,1.0999757536571566,0.45126680072843767,A_recurring_strong_evidence
374072,11274,12760.0,501359.0,2022-04-06,2022-05-21,46,4,"Bengaluru, Delhi, HR-NCR, Mumbai",2,"2022-05, 2022-04",39.0,40.0,39.29563597658329,39.0,0,16,1.1318076991307433,0.4563483515653294,A_recurring_strong_evidence
476146,11012,13248.0,825518.0,2022-04-01,2022-07-10,81,4,"Bengaluru, Delhi, HR-NCR, Mumbai",4,"2022-06, 2022-04, 2022-05, 2022-07",55.0,64.0,62.29576825281511,63.0,0,12,1.2030512168543408,1.5817183589646282,A_recurring_strong_evidence
476147,9982,10312.0,2400270.0,2022-04-01,2022-07-10,81,4,"Bengaluru, Delhi, HR-NCR, Mumbai",4,"2022-05, 2022-04, 2022-06, 2022-07",197.0,275.0,232.7620717291124,234.0,0,7,1.033059507112803,7.262368886193996,A_recurring_strong_evidence
393010,9115,10314.0,567508.0,2022-04-01,2022-07-09,77,3,"Delhi, HR-NCR, Mumbai",4,"2022-04, 2022-05, 2022-07, 2022-06",55.0,78.0,55.027427317608335,55.0,0,9,1.1315414152495886,0.4299954797898061,A_recurring_strong_evidence
23827,8847,9217.0,442939.0,2022-04-01,2022-07-10,81,4,"Bengaluru, Delhi, HR-NCR, Mumbai",4,"2022-04, 2022-05, 2022-06, 2022-07",34.0,55.0,48.062507064541656,47.0,0,6,1.0418220865830226,2.4962652092119018,A_recurring_strong_evidence
482552,8723,11753.0,223206.0,2022-04-15,2022-06-20,57,3,"Bengaluru, Delhi, HR-NCR",3,"2022-04, 2022-05, 2022-06",15.0,20.0,18.993809469219304,19.0,0,12,1.3473575604723145,0.4577626355584254,A_recurring_strong_evidence
476159,8565,9883.0,617169.0,2022-04-01,2022-07-10,81,4,"Bengaluru, Delhi, HR-NCR, Mumbai",4,"2022-04, 2022-05, 2022-06, 2022-07",55.0,70.0,62.43409223584355,63.0,0,17,1.1538820782253356,1.4673006393293362,A_recurring_strong_evidence
410892,7262,7810.0,306625.0,2022-04-06,2022-05-21,46,4,"Bengaluru, Delhi, HR-NCR, Mumbai",2,"2022-04, 2022-05",39.0,40.0,39.26741944367943,39.0,0,11,1.0754613054255027,0.44264349700636835,A_recurring_strong_evidence
